"","Stop_ID","Stop_Name"
"296",20808,"Chester Av & 43rd St "
"297",20809,"Chester Av & 45th St"
"298",20810,"Chester Av & 46th St"
"299",20811,"Chester Av & 47th St"
"300",20812,"Chester Av & 48th St"
"301",20814,"Chester Av & 51st St"
"302",20815,"Chester Av & 52nd St"
"303",20816,"Chester Av & 53rd St"
"304",20817,"Chester Av & 54th St"
"305",20818,"Chester Av & 55th St"
"306",20819,"Chester Av & 56th St"
"307",20820,"Chester Av & 57th St"
"308",20821,"Chester Av & 59th St "
"309",20822,"Chester Av & 60th St "
"310",20823,"60th St & Kingsessing Av"
"311",20824,"Kingsessing Av & 61st St"
"312",20825,"Kingsessing Av & 62nd St"
"313",20826,"Kingsessing Av & 65th St"
"314",20827,"65th St & Chester St"
"315",20828,"65th St & Windsor St "
"316",20829,"65th St & Cobbs Creek Pkwy "
"317",20831,"Chester Av & Church Ln"
"318",20833,"Chester Av & Duncan Av "
"319",20834,"Chester Av & Stetser Av "
"320",20835,"Chester Av & Alfred Av "
"321",20836,"Chester Av & Cedar Av "
"322",20838,"10th St & Mulberry Av "
"323",20839,"10th St & Wycombe Av "
"324",20840,"10th St & Summit St"
"325",20841,"10th St & Ridge Av "
"326",20843,"65th St & Kingsessing Av "
"327",20859,"Baltimore Av & 60th St"
"328",20860,"Baltimore Av & 59th St"
"329",20861,"Baltimore Av & 58th St"
"330",20862,"Baltimore Av & 57th St"
"331",20863,"Baltimore Av & 56th St"
"332",20864,"Baltimore Av & 55th St"
"333",20865,"Baltimore Av & 54th St"
"334",20866,"Baltimore Av & 53rd St"
"335",20867,"Baltimore Av & Broomall St"
"336",20868,"Baltimore Av & 51st St"
"337",20869,"Baltimore Av & 50th St"
"338",20870,"Baltimore Av & Florence Av"
"339",20871,"Baltimore Av & 47th St"
"340",20872,"Baltimore Av & 46th St"
"341",20873,"Baltimore Av & 45th St"
"342",20874,"Baltimore Av & 44th St"
"343",20875,"Baltimore Av & 43rd St"
"344",20876,"Baltimore Av & 42nd St"
"345",20877,"Baltimore Av & 41st St"
"346",20878,"Baltimore Av & 41st St"
"347",20879,"Baltimore Av & 42nd St"
"348",20880,"Baltimore Av & 43rd St"
"349",20881,"Baltimore Av & 44th St"
"350",20882,"Baltimore Av & 45th St"
"351",20883,"Baltimore Av & 46th St"
"352",20884,"Baltimore Av & 47th St"
"353",20885,"Baltimore Av & 48th St"
"354",20886,"Baltimore Av & 50th St"
"355",20887,"Baltimore Av & 51st St"
"356",20888,"Baltimore Av & 52nd St"
"357",20889,"Baltimore Av & 53rd St"
"358",20890,"Baltimore Av & 54th St"
"359",20891,"Baltimore Av & 55th St"
"360",20892,"Baltimore Av & 56th St"
"361",20893,"Baltimore Av & 57th St"
"362",20894,"Baltimore Av & 58th St"
"363",20895,"Baltimore Av & 59th St"
"364",20896,"Baltimore Av & 60th St"
"365",20897,"49th St & Paschall Av"
"366",20899,"Grays Av & Lindbergh Blvd"
"367",20900,"Lindbergh Blvd & Grays Av - FS"
"368",20901,"Lindbergh Blvd & 54th St"
"369",20902,"Elmwood Av & 56th St"
"370",20903,"Elmwood Av & 57th St"
"371",20904,"Elmwood Av & 58th St"
"372",20905,"Elmwood Av & 59th St"
"373",20906,"Elmwood Av & Edgewood Av"
"374",20907,"Elmwood Av & 61st St"
"375",20908,"Elmwood Av & 62nd St"
"376",20909,"Elmwood Av & 63rd St"
"377",20910,"Elmwood Av & 64th St"
"378",20911,"Elmwood Av & 65th St"
"379",20912,"Elmwood Av & 66th St"
